Order Number,Date Ordered,Date Due,Product Name,Product Code,Size,Color,Line Qty,Decoration Process,Unit Price,Line Total,Tax,Tax Exempt,Order Total,Order Shipping Total,PO Number,Supplier PO Number,Production Staff Account,Store Name,Company,Billing First Name,Billing Last Name,Billing Email Address,Billing Address,Billing City,Billing State,Billing Postcode/zip,Billing Phone No.,Shipping First Name,Shipping Last Name,Shipping Address,Shipping City,Shipping State,Shipping Postcode/zip,Shipping Phone No.,Shipping Method,Design Name,Design Price
INV00011,5/10/2024,5/14/2024,Sample Sweatshirt K,SW011,"Small x 5, Medium x 15",Brown,15,Embroidery,17.00,255.00,20.40,No,275.40,0,,PO011,N/A,Sample Shop,Acme Inc.,Mary,Adams,mary.adams@acme.com,118 Birch Rd,Springfield,IL,62704,217-555-6780,John,Adams,119 Birch Rd,Springfield,IL,62704,217-555-9014,In-Store Pickup,Design K,0
INV00012,5/11/2024,5/15/2024,Sample Jacket L,JK012,"Large x 10, X Large x 10",Teal,20,DTF,22.00,440.00,35.20,No,475.20,0,,PO012,N/A,Sample Shop,Acme Inc.,Kevin,Thompson,kevin.thompson@acme.com,120 Maple Ave,Springfield,IL,62704,217-555-3457,Laura,Thompson,121 Maple Ave,Springfield,IL,62704,217-555-8903,In-Store Pickup,Design L,0
INV00013,5/12/2024,5/16/2024,Sample Polo M,PL013,"Medium x 10, Large x 15",Maroon,25,Screen Print,13.00,325.00,26.00,No,351.00,0,,PO013,N/A,Sample Shop,Acme Inc.,Paul,Wilson,paul.wilson@acme.com,122 Cedar Blvd,Springfield,IL,62704,217-555-1235,Kate,Wilson,123 Cedar Blvd,Springfield,IL,62704,217-555-6781,In-Store Pickup,Design M,0
INV00014,5/13/2024,5/17/2024,Sample Polo N,PL014,"X Large x 10, 2X Large x 5",Olive,15,Embroidery,24.00,360.00,28.80,No,388.80,0,,PO014,N/A,Sample Shop,Acme Inc.,Anna,Scott,anna.scott@acme.com,124 Maple Rd,Springfield,IL,62704,217-555-7893,Robert,Scott,125 Maple Rd,Springfield,IL,62704,217-555-2346,In-Store Pickup,Design N,0
INV00015,5/14/2024,5/18/2024,Sample T-Shirt O,TS015,"Small x 5, Medium x 10",Navy,10,DTF,26.00,260.00,20.80,No,280.80,0,,PO015,N/A,Sample Shop,Acme Inc.,Laura,Green,laura.green@acme.com,126 Pine Blvd,Springfield,IL,62704,217-555-9015,James,Green,127 Pine Blvd,Springfield,IL,62704,217-555-3456,In-Store Pickup,Design O,0
INV00016,5/15/2024,5/19/2024,Sample Sweatshirt P,SW016,"Medium x 10, Large x 10",Coral,20,Screen Print,15.00,300.00,24.00,No,324.00,0,,PO016,N/A,Sample Shop,Acme Inc.,Susan,Adams,susan.adams@acme.com,128 Cedar Ave,Springfield,IL,62704,217-555-6782,Michael,Adams,129 Cedar Ave,Springfield,IL,62704,217-555-7891,In-Store Pickup,Design P,0
INV00017,5/16/2024,5/20/2024,Sample Sweatshirt Q,SW017,"Large x 15, X Large x 10",Turquoise,25,Embroidery,23.00,575.00,46.00,No,621.00,0,,PO017,N/A,Sample Shop,Acme Inc.,Karen,Baker,karen.baker@acme.com,130 Birch Blvd,Springfield,IL,62704,217-555-9016,Tom,Baker,131 Birch Blvd,Springfield,IL,62704,217-555-3457,In-Store Pickup,Design Q,0
INV00018,5/17/2024,5/21/2024,Sample Jacket R,JK018,"X Large x 10, 2X Large x 10",Gold,20,DTF,27.00,540.00,43.20,No,583.20,0,,PO018,N/A,Sample Shop,Acme Inc.,Laura,King,laura.king@acme.com,132 Cedar Blvd,Springfield,IL,62704,217-555-7892,David,King,133 Cedar Blvd,Springfield,IL,62704,217-555-6784,In-Store Pickup,Design R,0
INV00019,5/18/2024,5/22/2024,Sample T-Shirt S,TS019,"Small x 5, Medium x 5",Silver,10,Screen Print,12.50,125.00,10.00,No,135.00,0,,PO019,N/A,Sample Shop,Acme Inc.,Nancy,Moore,nancy.moore@acme.com,134 Oak Ave,Springfield,IL,62704,217-555-8905,Jeff,Moore,135 Oak Ave,Springfield,IL,62704,217-555-3458,In-Store Pickup,Design S,0
INV00020,5/19/2024,5/23/2024,Sample Polo T,PL020,"Large x 10, X Large x 5",Bronze,15,Embroidery,20.00,300.00,24.00,No,324.00,0,,PO020,N/A,Sample Shop,Acme Inc.,Olivia,Garcia,olivia.garcia@acme.com,136 Cedar Blvd,Springfield,IL,62704,217-555-9018,Luis,Garcia,137 Cedar Blvd,Springfield,IL,62704,217-555-4567,In-Store Pickup,Design T,0
