Order Number,Date Ordered,Date Due,Product Name,Product Code,Size,Color,Line Qty,Decoration Process,Unit Price,Line Total,Tax,Tax Exempt,Order Total,Order Shipping Total,PO Number,Supplier PO Number,Production Staff Account,Store Name,Company,Billing First Name,Billing Last Name,Billing Email Address,Billing Address,Billing City,Billing State,Billing Postcode/zip,Billing Phone No.,Shipping First Name,Shipping Last Name,Shipping Address,Shipping City,Shipping State,Shipping Postcode/zip,Shipping Phone No.,Shipping Method,Design Name,Design Price
360733,5/2/2024,5/13/2024,Adult Softstyle T-Shirt,980,Medium x 1,Black ,1,DTF,44.16,44.16,3.64,No,47.8,0,,TX13358,N/A,Amazon LLC,Customer Company,Ruth,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7905,Ruth,Last Names,133 customer adreess,Austin,,12345,123-456-7904,In-Store Customer Pickup,sword copy,0
360733,5/2/2024,5/13/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,47.8,0,,TX13358,N/A,Amazon LLC,Customer Company,Ruth,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7906,Ruth,Last Names,134 customer adreess,Austin,,12345,123-456-7905,In-Store Customer Pickup,N/A,N/A
360736,5/2/2024,5/2/2024,"22"" x 36"" DTF Transfer",DTF,,DTF Clear Film ,1,DTF,37.5,37.5,3.09,No,46,0,,,N/A,Amazon LLC,Customer Company,Omotars,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7907,Omotars,Last Names,135 customer adreess,Austin,Texas,12345,123-456-7906,In-Store Customer Pickup,"72D8D10B 4530 4B21 9E92 D81179851F99, 72D8D10B 4530 4B21 9E92 D81179851F99, F4B149C2 6D84 4F81 BA77 79E52BA32C51, F4B149C2 6D84 4F81 BA77 79E52BA32C51",0
360736,5/2/2024,5/2/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,46,0,,,N/A,Amazon LLC,Customer Company,Omotars,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7908,Omotars,Last Names,136 customer adreess,Austin,Texas,12345,123-456-7907,In-Store Customer Pickup,N/A,N/A
360736,5/2/2024,5/2/2024,Same Day (Limited) - Local Only,RUSH ORDER FEE,,,1,,5,5,0.41,No,46,0,,,N/A,Amazon LLC,Customer Company,Omotars,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7909,Omotars,Last Names,137 customer adreess,Austin,Texas,12345,123-456-7908,In-Store Customer Pickup,N/A,N/A
360735,5/6/2024,5/13/2024,Youth PosiCharge ® Competitor™ Tee,YST350,"Small x 16, Medium x 17",Black ,33,"SCR,SCR",14.86,490.38,40.46,No,1017.11,0,,TX13368,N/A,Amazon LLC,Customer Company,Mike,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7910,Mike,Last Names,138 customer adreess,Austin,Texas,12345,123-456-7909,In-Store Customer Pickup,"unnamed  2 , Meyerland  7",0
360735,5/6/2024,5/13/2024,PosiCharge ® Competitor™ Tee,ST350,"Small x 18, Medium x 5, Large x 6",Black ,29,"SCR,SCR",15.49,449.21,37.06,No,1017.11,0,,TX13368,N/A,Amazon LLC,Customer Company,Mike,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7911,Mike,Last Names,139 customer adreess,Austin,Texas,12345,123-456-7910,In-Store Customer Pickup,,0
360735,5/6/2024,5/13/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,1017.11,0,,TX13368,N/A,Amazon LLC,Customer Company,Mike,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7912,Mike,Last Names,140 customer adreess,Austin,Texas,12345,123-456-7911,In-Store Customer Pickup,N/A,N/A
360740,5/2/2024,5/13/2024,Adult Heavy Cotton™ 5.3 oz. T-Shirt,G500,"Small x 13, Medium x 17, Large x 12, X Large x 7, 2X Large x 3",Sky ,52,SCR,7.5,390,0,No,1503.71,0,,"TX13365, TX13363",N/A,Amazon LLC,Customer Company,Heather,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7913,Heather,Last Names,141 customer adreess,Austin,Texas,12345,123-456-7912,In-Store Customer Pickup,Heading  1 ,0
360740,5/2/2024,5/13/2024,Remake Film,,,,1,,25,25,0,Yes,1503.71,0,,"TX13365, TX13363",N/A,Amazon LLC,Customer Company,Heather,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7914,Heather,Last Names,142 customer adreess,Austin,Texas,12345,123-456-7913,In-Store Customer Pickup,,0
360740,5/2/2024,5/13/2024,Youth  Heavy Cotton™ 5.3 oz. T-Shirt,G500B,"XS x 37, Small x 44, Medium x 42, Large x 28",Sky ,151,SCR,7.21,1088.71,0,No,1503.71,0,,"TX13365, TX13363",N/A,Amazon LLC,Customer Company,Heather,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7915,Heather,Last Names,143 customer adreess,Austin,Texas,12345,123-456-7914,In-Store Customer Pickup,Heading  1 ,0
360740,5/2/2024,5/13/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,Yes,1503.71,0,,"TX13365, TX13363",N/A,Amazon LLC,Customer Company,Heather,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7916,Heather,Last Names,144 customer adreess,Austin,Texas,12345,123-456-7915,In-Store Customer Pickup,N/A,N/A
360741,5/2/2024,5/13/2024,Long Sleeve PosiCharge ® Competitor™ Tee,ST350LS,"X Large x 5, 2X Large x 5",True Royal ,10,"DTF,DTF,DTF",30.87,308.7,25.47,No,668.34,0,,,N/A,Amazon LLC,Customer Company,Jeff Lutz,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7917,Jeff Lutz,Last Names,145 customer adreess,Austin,Texas,12345,123-456-7916,In-Store Customer Pickup,"proximity, proximity SLEEVE, proximity SLEEVE",0
360741,5/2/2024,5/13/2024,Long Sleeve PosiCharge ® Competitor™ Tee,ST350LS,"X Large x 5, 2X Large x 5",Iron Grey ,10,"DTF,DTF,DTF",30.87,308.7,25.47,No,668.34,0,,,N/A,Amazon LLC,Customer Company,Jeff Lutz,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7918,Jeff Lutz,Last Names,146 customer adreess,Austin,Texas,12345,123-456-7917,In-Store Customer Pickup,"proximity, proximity SLEEVE, proximity SLEEVE",0
360741,5/2/2024,5/13/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,668.34,0,,,N/A,Amazon LLC,Customer Company,Jeff Lutz,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7919,Jeff Lutz,Last Names,147 customer adreess,Austin,Texas,12345,123-456-7918,In-Store Customer Pickup,N/A,N/A
360742,5/2/2024,5/13/2024,Dri FIT Micro Pique 2.0 Polo,NKDC1963,"Medium x 5, Large x 10, 2X Large x 5",Black ,20,EMB,38.23,764.6,63.08,No,827.68,0,,TX13361,N/A,Amazon LLC,Customer Company,Julie,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7920,Julie,Last Names,148 customer adreess,Austin,Texas,12345,123-456-7919,In-Store Customer Pickup,CRAWFISH ,0
360742,5/2/2024,5/13/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,827.68,0,,TX13361,N/A,Amazon LLC,Customer Company,Julie,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7921,Julie,Last Names,149 customer adreess,Austin,Texas,12345,123-456-7920,In-Store Customer Pickup,N/A,N/A
360745,5/3/2024,5/9/2024,Customer Provided Tote Bag,19,ONE SIZE x 8,Natural ,8,"DTF,DTF",25,200,16.5,No,216.5,0,,,N/A,Amazon LLC,Customer Company, Marissa,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7922, Marissa Trevino,Last Names,150 customer adreess,Austin,Texas,12345,123-456-7921,In-Store Customer Pickup,"unnamed  4 , unnamed  5 ",0
360745,5/3/2024,5/9/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,216.5,0,,,N/A,Amazon LLC,Customer Company, Marissa,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7923, Marissa Trevino,Last Names,151 customer adreess,Austin,Texas,12345,123-456-7922,In-Store Customer Pickup,N/A,N/A
360748,5/3/2024,5/3/2024,"22"" x 36"" DTF Transfer",DTF,,DTF Clear Film ,1,DTF,37.5,37.5,3.09,No,46,0,,,N/A,Amazon LLC,Customer Company,Omotars,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7924,Omotars,Last Names,152 customer adreess,Austin,Texas,12345,123-456-7923,In-Store Customer Pickup,"IMG 2573, IMG 2573, IMG 2573, IMG 2573, IMG 2573, IMG 2573, IMG 2573, IMG 2573, IMG 3593, IMG 3593, SUPER Nurse 2 1 2024, Uncle Bluey PNG Artwork  1  complete , bible scripture, Super mom",0
360748,5/3/2024,5/3/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,46,0,,,N/A,Amazon LLC,Customer Company,Omotars,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7925,Omotars,Last Names,153 customer adreess,Austin,Texas,12345,123-456-7924,In-Store Customer Pickup,N/A,N/A
360748,5/3/2024,5/3/2024,Same Day (Limited) - Local Only,RUSH ORDER FEE,,,1,,5,5,0.41,No,46,0,,,N/A,Amazon LLC,Customer Company,Omotars,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7926,Omotars,Last Names,154 customer adreess,Austin,Texas,12345,123-456-7925,In-Store Customer Pickup,N/A,N/A
360746,5/3/2024,5/6/2024,Customer Provided T-shirts,1,,Sand ,12,"DTF,DTF",24,288,23.76,No,363.72,0,,,N/A,Amazon LLC,Customer Company,Jaylen,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7927,Jaylen Freeman,Last Names,155 customer adreess,Austin,Texas,12345,123-456-7926,In-Store Customer Pickup,"FRONT LOGO, BACK LOGO",0
360746,5/3/2024,5/6/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,363.72,0,,,N/A,Amazon LLC,Customer Company,Jaylen,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7928,Jaylen Freeman,Last Names,156 customer adreess,Austin,Texas,12345,123-456-7927,In-Store Customer Pickup,N/A,N/A
360746,5/3/2024,5/6/2024,24 Hours,RUSH ORDER FEE,,,1,,48,48,3.96,No,363.72,0,,,N/A,Amazon LLC,Customer Company,Jaylen,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7929,Jaylen Freeman,Last Names,157 customer adreess,Austin,Texas,12345,123-456-7928,In-Store Customer Pickup,N/A,N/A
360747,5/6/2024,5/15/2024,Adult Heavy Cotton™ 5.3 oz. T-Shirt,G500,"Small x 8, Medium x 10, Large x 20, X Large x 20, 2X Large x 2",Navy ,60,"SCR,SCR",10.5,630,51.98,No,686.31,0,,TX13366,N/A,Amazon LLC,Customer Company,Shelby,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7930,Shelby,Last Names,158 customer adreess,Austin,Texas,12345,123-456-7929,In-Store Customer Pickup,"MuellerLogo, MuellerLogo",0
360747,5/6/2024,5/15/2024,2XL,,,,2,,2,4,0.33,No,686.31,0,,TX13366,N/A,Amazon LLC,Customer Company,Shelby,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7931,Shelby,Last Names,159 customer adreess,Austin,Texas,12345,123-456-7930,In-Store Customer Pickup,,0
360747,5/6/2024,5/15/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,686.31,0,,TX13366,N/A,Amazon LLC,Customer Company,Shelby,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7932,Shelby,Last Names,160 customer adreess,Austin,Texas,12345,123-456-7931,In-Store Customer Pickup,N/A,N/A
360750,5/4/2024,5/14/2024,Next Level Unisex Cotton T-Shirt,3600,"XS x 1, Small x 2, Medium x 1",Antique Gold ,4,SCR,13.61,54.44,4.49,No,315.53,0,,TX13369,N/A,Amazon LLC,Customer Company,Robyn,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7933,Robyn,Last Names,161 customer adreess,Austin,,12345,123-456-7932,In-Store Customer Pickup,image0  18 ,0
360750,5/4/2024,5/14/2024,Youth Boys’ Cotton Crew,3310,"Small x 1, Medium x 2, Large x 1",Gold ,4,SCR,12.44,49.76,4.11,No,315.53,0,,TX13369,N/A,Amazon LLC,Customer Company,Robyn,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7934,Robyn,Last Names,162 customer adreess,Austin,,12345,123-456-7933,In-Store Customer Pickup,image0  18 ,0
360750,5/4/2024,5/14/2024,"Adult 5.5 oz., 50/50 T-Shirt",G800,3X Large x 2,Black ,2,SCR,16.7,33.4,2.76,No,315.53,0,,TX13369,N/A,Amazon LLC,Customer Company,Robyn,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7935,Robyn,Last Names,163 customer adreess,Austin,,12345,123-456-7934,In-Store Customer Pickup,image0  18 ,0
360750,5/4/2024,5/14/2024,Next Level Unisex Cotton T-Shirt,3600,"Small x 3, Medium x 3, Large x 3",White ,9,SCR,13.61,122.49,10.11,No,315.53,0,,TX13369,N/A,Amazon LLC,Customer Company,Robyn,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7936,Robyn,Last Names,164 customer adreess,Austin,,12345,123-456-7935,In-Store Customer Pickup,image0  18 ,0
360750,5/4/2024,5/14/2024,"Adult 5.5 oz., 50/50 T-Shirt",G800,3X Large x 2,White ,2,SCR,15.69,31.38,2.59,No,315.53,0,,TX13369,N/A,Amazon LLC,Customer Company,Robyn,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7937,Robyn,Last Names,165 customer adreess,Austin,,12345,123-456-7936,In-Store Customer Pickup,image0  18 ,0
360750,5/4/2024,5/14/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,315.53,0,,TX13369,N/A,Amazon LLC,Customer Company,Robyn,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7938,Robyn,Last Names,166 customer adreess,Austin,,12345,123-456-7937,In-Store Customer Pickup,N/A,N/A
360751,5/4/2024,5/17/2024,Digitizing Fee,,,,1,,50,50,4.13,No,378.89,0,,TX13376,N/A,Amazon LLC,Customer Company,Marcella,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7939,Marcella,Last Names,167 customer adreess,Austin,Texas,12345,123-456-7938,In-Store Customer Pickup,,0
360751,5/4/2024,5/17/2024,M315W Harriton Ladies' Polytech Polo,FREE_FORM,"Large x 3, X Large x 3",Dark Green,6,,25,150,12.38,No,378.89,0,,TX13376,N/A,Amazon LLC,Customer Company,Marcella,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7940,Marcella,Last Names,168 customer adreess,Austin,Texas,12345,123-456-7939,In-Store Customer Pickup,,0
360751,5/4/2024,5/17/2024,M315 Harriton Men' Polytech Polo,FREE_FORM,"Large x 3, X Large x 3",Dark Green,6,,25,150,12.38,No,378.89,0,,TX13376,N/A,Amazon LLC,Customer Company,Marcella,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7941,Marcella,Last Names,169 customer adreess,Austin,Texas,12345,123-456-7940,In-Store Customer Pickup,,0
360751,5/4/2024,5/17/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,378.89,0,,TX13376,N/A,Amazon LLC,Customer Company,Marcella,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7942,Marcella,Last Names,170 customer adreess,Austin,Texas,12345,123-456-7941,In-Store Customer Pickup,N/A,N/A
360755,5/6/2024,5/15/2024,Customer Provided T-shirts,1,,Navy ,2,"DTF,DTF",35,70,5.78,No,113.67,0,,,N/A,Amazon LLC,Customer Company,Julian,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7943,Julian,Last Names,171 customer adreess,Austin,,12345,123-456-7942,In-Store Customer Pickup,OTGB Logo  1 ,0
360755,5/6/2024,5/15/2024,Customer Provided T-shirts,1,,Navy ,1,"DTF,DTF",35,35,2.89,No,113.67,0,,,N/A,Amazon LLC,Customer Company,Julian,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7944,Julian,Last Names,172 customer adreess,Austin,,12345,123-456-7943,In-Store Customer Pickup,OTGB Logo  1 ,0
360755,5/6/2024,5/15/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,113.67,0,,,N/A,Amazon LLC,Customer Company,Julian,Last Names,customer@email.com,Custom Billing Address,Austin,,12345,123-456-7945,Julian,Last Names,173 customer adreess,Austin,,12345,123-456-7944,In-Store Customer Pickup,N/A,N/A
360757,5/7/2024,5/16/2024,Next Level Unisex Cotton T-Shirt,3600,"XS x 1, Small x 1, Large x 4, X Large x 6, 2X Large x 3",White ,15,SCR,15,225,18.56,No,251.68,0,,TX13369,N/A,Amazon LLC,Customer Company,Taylor Calver,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7946,Taylor Calver,Last Names,174 customer adreess,Austin,Texas,12345,123-456-7945,In-Store Customer Pickup,Bean 76 Logo,0
360757,5/7/2024,5/16/2024,2XL,,,,3,,2.5,7.5,0.62,No,251.68,0,,TX13369,N/A,Amazon LLC,Customer Company,Taylor Calver,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7947,Taylor Calver,Last Names,175 customer adreess,Austin,Texas,12345,123-456-7946,In-Store Customer Pickup,,0
360757,5/7/2024,5/16/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,251.68,0,,TX13369,N/A,Amazon LLC,Customer Company,Taylor Calver,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7948,Taylor Calver,Last Names,176 customer adreess,Austin,Texas,12345,123-456-7947,In-Store Customer Pickup,N/A,N/A
360759,5/6/2024,5/11/2024,Customer Provided T-shirts,1,,White ,33,"DTF,DTF",18,594,49.01,No,1025.93,0,,,N/A,Amazon LLC,Customer Company,Tyson,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7949,Tyson,Last Names,177 customer adreess,Austin,Texas,12345,123-456-7948,In-Store Customer Pickup,"Untitled 4 02, Untitled 4 01",0
360759,5/6/2024,5/11/2024,Redo Artwork ,,,,1,,50,50,4.13,No,1025.93,0,,,N/A,Amazon LLC,Customer Company,Tyson,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7950,Tyson,Last Names,178 customer adreess,Austin,Texas,12345,123-456-7949,In-Store Customer Pickup,,0
360759,5/6/2024,5/11/2024,Customer Provided T-shirts,1,,Black ,33,"DTF,DTF",18,594,49.01,No,1025.93,0,,,N/A,Amazon LLC,Customer Company,Tyson,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7951,Tyson,Last Names,179 customer adreess,Austin,Texas,12345,123-456-7950,In-Store Customer Pickup,"img Untitled 4 02, img Untitled 4 01",0
360759,5/6/2024,5/11/2024,Custom printed Tag inside,10,,,66,DTF,2,132,10.89,No,1025.93,0,,,N/A,Amazon LLC,Customer Company,Tyson,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7952,Tyson,Last Names,180 customer adreess,Austin,Texas,12345,123-456-7951,In-Store Customer Pickup,CRUMBS LABEL,0
360759,5/6/2024,5/11/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,1025.93,0,,,N/A,Amazon LLC,Customer Company,Tyson,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7953,Tyson,Last Names,181 customer adreess,Austin,Texas,12345,123-456-7952,In-Store Customer Pickup,N/A,N/A
360759,5/6/2024,5/11/2024,1 week rush,RUSH ORDER FEE,,,1,,132,132,10.89,No,1025.93,0,,,N/A,Amazon LLC,Customer Company,Tyson,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7954,Tyson,Last Names,182 customer adreess,Austin,Texas,12345,123-456-7953,In-Store Customer Pickup,N/A,N/A
360760,5/6/2024,5/13/2024,Core Classic Pique Polo,K100,"Medium x 5, Large x 5, X Large x 2",Deep Black ,12,EMB,25,300,24.75,No,514.19,0,,TX13370,N/A,Amazon LLC,Customer Company,Tony Tran,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7955,Tony Tran,Last Names,183 customer adreess,Austin,Texas,12345,123-456-7954,In-Store Customer Pickup,SMART CORE LAB  1 ,0
360760,5/6/2024,5/13/2024,Digitizing Fee,,,,1,,50,50,4.13,No,514.19,0,,TX13370,N/A,Amazon LLC,Customer Company,Tony Tran,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7956,Tony Tran,Last Names,184 customer adreess,Austin,Texas,12345,123-456-7955,In-Store Customer Pickup,,0
360760,5/6/2024,5/13/2024,Ladies Core Classic Pique Polo,L100,"Small x 1, Medium x 3, X Large x 1",Deep Black ,5,EMB,25,125,10.31,No,514.19,0,,TX13370,N/A,Amazon LLC,Customer Company,Tony Tran,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7957,Tony Tran,Last Names,185 customer adreess,Austin,Texas,12345,123-456-7956,In-Store Customer Pickup,SMART CORE LAB  1 ,0
360760,5/6/2024,5/13/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,514.19,0,,TX13370,N/A,Amazon LLC,Customer Company,Tony Tran,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7958,Tony Tran,Last Names,186 customer adreess,Austin,Texas,12345,123-456-7957,In-Store Customer Pickup,N/A,N/A
360761,5/6/2024,5/9/2024,Customer Provided Polo,3,,Green ,1,EMB,25,25,2.06,No,135.32,0,,,N/A,Amazon LLC,Customer Company,BEN FINLEY,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7959,BEN FINLEY,Last Names,187 customer adreess,Austin,Texas,12345,123-456-7958,In-Store Customer Pickup,BETA NU 1  1 ,0
360761,5/6/2024,5/9/2024,Digitizing Fee,,,,1,,50.01,50.01,4.13,No,135.32,0,,,N/A,Amazon LLC,Customer Company,BEN FINLEY,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7960,BEN FINLEY,Last Names,188 customer adreess,Austin,Texas,12345,123-456-7959,In-Store Customer Pickup,,0
360761,5/6/2024,5/9/2024,Customer Provided Polo,3,,Royal Blue ,1,EMB,25,25,2.06,No,135.32,0,,,N/A,Amazon LLC,Customer Company,BEN FINLEY,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7961,BEN FINLEY,Last Names,189 customer adreess,Austin,Texas,12345,123-456-7960,In-Store Customer Pickup,BETA NU 1  1 ,0
